"date","Mkt-RF","RMW","dDP","dTS","UNEXPI","RF"
"196307",-0.39,0.66,0.109553829572138,-0.219542828666224,-0.195957166961016,0.261214320223191
"196308",5.07,0.4,0.0418850340929279,-0.0886516978289757,-0.153141703716507,0.272543912807599
"196309",-1.57,-0.76,3.61222488165698e-05,0.404067716342695,-0.163088718249622,0.277395145140735
"196310",2.53,2.75,0.0162950562932465,-0.0715594057534073,0.0617565364738504,0.28305165524094
"196311",-0.85,-0.45,0.00256365924946617,0.0893981341782972,-0.173400876127915,0.288704657879624
"196312",1.83,0.07,0.0873709230762295,-0.315665836821662,-0.154064475810271,0.288704657879624
"196401",2.24,0.22,-0.184274369874308,0.179233153693696,-0.436357632919247,0.288704657879624
"196402",1.54,0.06,-0.144239902061957,0.314117536108304,0.644574791206731,0.289511943626852
"196403",1.41,-2.01,-0.0101847640857131,0.13369440566894,0.152793009584717,0.290319157899233
"196404",0.1,-1.35,-0.0802297275706133,0.255181370709605,0.134637404711706,0.284667156557328
"196405",1.42,-0.26,-0.117034992144088,-0.0598194297281387,0.358171358328068,0.285474799877417
"196406",1.27,-0.42,0.0287638500864822,-0.0369542563906667,0.246921441567094,0.285474799877417
"196407",1.74,0.14,-0.0878077284617078,0.0814003497734858,0.095677518802692,0.283859441682921
"196408",-1.44,0.06,-0.0344082957470815,0.050004439177719,-0.214636619486871,0.287089871907664
"196409",2.69,-0.48,-0.0732880754982242,-0.00161418719284018,0.131729188415823,0.289511943626852
"196410",0.59,-0.29,0.0330092769937353,0.234328504422184,-0.116190454448817,0.292740371999511
"196411",0,0.6,0.108933395612673,-0.0635381782442558,-0.0267469139102777,0.298387372414766
"196412",0.03,1.13,0.0251410652891398,-0.113740681286434,0.24814259510236,0.314502415751705
"196501",3.54,0.84,-0.144652344390909,0.557498919203783,-0.385016922540029,0.312086974013481
"196502",0.44,0.4,0.135969328827725,0.0502998104166636,0.0139828571394368,0.321744904794241
"196503",-1.34,-0.3,-0.100665695491205,0.0973959151966341,-0.0980879949771167,0.321744904794241
"196504",3.11,0.26,-0.076053186349372,0.0486296572998137,0.369919750713263,0.321744904794241
"196505",-0.77,-0.38,-0.0173341145966381,-0.107399878434949,-0.20668503968141,0.318526730828039
"196506",-5.51,0.12,0.0627736770230879,-0.21014683690379,-0.187412984598555,0.311281684573306
"196507",1.43,-1.41,-0.0851055247882009,0.142807733773178,0.162287486201417,0.314502415751705
